name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Aureococcus anophagefferens	44056	species	19272998	1	0	0.0
Paenibacillus	44249	genus	0	3	0	0.0
Paenibacillus durus	44251	species	6114092	2	0	0
Bradyrhizobium oligotrophicum	44255	species	1489	1	0	0.0
Pasteurella multocida subsp. multocida	44283	subspecies	2567214	1	1	0.0
Eimeria mitis	44415	species	11850430	1	1	0.0
Nitrosomonas communis	44574	species	4075831	1	1	0.0
Dictyostelium discoideum	44689	species	4294277	1	0	0.0
Desulfovibrio fairfieldensis	44742	species	3702310	1	0	0.0
Halomonas cupida	44933	species	34324	1	1	0.0
unidentified cloning vector	45196	species	858648	316	0	1.51082e-46
Eremothecium sinecaudum	45286	species	15850326	4	3	0.0
Nematostella vectensis	45351	species	29578861	2	1	0
[Candida] intermedia	45354	species	26348087	11	11	0.0
Enterobacteria phage L	45441	species	10526	60	0	1.41448e-13
Teladorsagia circumcincta	45464	species	283847	70	0	0
[Candida] galacta	45553	species	9959	2	0	1.66205e-37
Schwanniomyces vanrijiae var. vanrijiae	45615	varietas	16273	4	0	0.0
Wickerhamiella	45787	genus	0	8	0	0.0
Staphylococcus pasteuri	45972	species	3053155	106	27	0
Phelipanche ramosa	46066	species	163751	2	0	0.0
Staphylococcus chromogenes	46126	species	126474	1671	1	9.44797e-06
Staphylococcus aureus subsp. aureus	46170	subspecies	91149298	12737	2985	4.93031e-09
Drosophila pseudoobscura pseudoobscura	46245	subspecies	65557932	6	0	0.0
Weissella	46255	genus	0	60	1	0.0
Saccharomyces douglasii	46617	species	58049	87	6	6.08867e-07
Salmonella enterica subsp. enterica serovar Give	46626	leaf	4923834	243	12	0
Salmonella enterica subsp. salamae serovar Sofia	46629	leaf	195817	63	1	0.0
Cloning vector pZEO-SG1	46655	species	7196	2	0	0.0
Cloning vector pZEO-SG2	46656	species	6401	2	0	0.0
Cloning vector pZEO-SG3	46657	species	6656	134	0	3.13375e-05
Cloning vector pZEO-SG4	46658	species	6392	158	0	8.32266e-06
Pseudomonas agarici	46677	species	5541212	2	2	0.0
Pseudomonas mucidolens	46679	species	5877108	5	3	0
Pseudomonas nitroreducens	46680	species	375905	5	0	0
Pseudomonas sp. JR1	47160	species	28202	4	0	0.0
Hydrogenophaga	47420	genus	0	4	0	0.0
Borrelia miyamotoi	47466	species	11653310	9	0	0.0
Pseudomonas sp. ADP	47660	species	119136	67	0	0
Lactobacillus paracasei subsp. paracasei	47714	subspecies	3466994	989	0	0
Lactobacillus rhamnosus	47715	species	24857752	213	27	0
Streptomyces lydicus	47763	species	25882516	7	0	0.0
Lactobacillus crispatus	47770	species	336439	2	1	0.0
Micromonospora echinaurantiaca	47857	species	7221088	23	3	0.0
Micromonospora echinofusca	47858	species	7011666	15	0	0.0
Micromonospora inositola	47865	species	6721874	1	0	0.0
Micromonospora purpureochromogenes	47872	species	6709144	1	0	0.0
Pseudomonas azotoformans	47878	species	20371641	31	6	0
Pseudomonas corrugata	47879	species	12474814	30	8	0.0
Pseudomonas fulva	47880	species	5231957	20	3	0
Pseudomonas synxantha	47883	species	6984330	766	668	0.0
Pseudomonas oryzihabitans	47885	species	5045426	25	6	0
Serratia fonticola	47917	species	18202434	26	15	0.0
Cloning vector pGIP2121	47975	species	372	17	0	0.0
Mycoplasma pullorum	48003	species	1033199	2	2	0.0
Marinobacterium	48075	genus	0	1	0	0.0
Torulaspora globosa	48254	species	118241	6	0	0.0
Schistosoma margrebowiei	48269	species	367421722	79	24	0.0
Acinetobacter pittii	48296	species	25396251	12	7	1.68831e-292
Orbicella faveolata	48498	species	92734752	2	1	0.0
Xanthomonas fragariae	48664	species	21483338	18	0	0.0
Poecilia formosa	48698	species	185744234	9	1	0.0
Poecilia latipinna	48699	species	164742946	13	5	0.0
Poecilia mexicana	48701	species	165981969	6	0	0.0
Ralstonia	48736	genus	0	25	0	0.0
Desulfitobacterium hafniense	49338	species	5697350	13	0	0.0
Nicotiana attenuata	49451	species	89581817	2	1	0.0
Flavobacteriaceae	49546	family	0	1	0	0.0
[Candida] methanosorbosa	50262	species	16574	1	0	1.25178e-07
Pseudomonas fuscovaginae	50340	species	6660933	52	50	0.0
Stylophora pistillata	50429	species	85077264	5	3	0.0
Arabis alpina	50452	species	312303512	35	29	0.0
Insecta	50557	class	0	6	0	0.0
Curtobacterium albidum	50728	species	19118	75	0	0
Enterobacteria phage RB49	50948	leaf	173685	1	1	0.0
Enterobius vermicularis	51028	species	150132834	2429	48	1.83119e-298
Necator americanus	51031	species	15689854	1	1	0.0
Ureibacillus thermosphaericus	51173	species	3584023	4	1	0.0
Wigglesworthia glossinidia	51229	species	8596	1	0	0.0
Juglans regia	51240	species	109119653	1	1	0.0
Cloning vector pRSQ2-URA3	51312	species	5056	1	1	0.0
Jaculus jaculus	51337	species	51280579	10	6	0.0
Expression vector pESP-I	51339	species	10765	1	1	0.0
Brassica rapa subsp. pekinensis	51351	subspecies	48952210	9	5	0.0
Salinivibrio	51366	genus	0	122	0	0.0
Salinivibrio costicola	51367	species	107702	18	0	0
Dehalobacterium formicoaceticum	51515	species	3767864	2	0	0.0
Plutella xylostella	51655	species	45401035	13	3	0.0
Nakaseomyces delphensis	51657	species	233774	12	7	0.0
Nakaseomyces bacillisporus	51660	species	120627	4	0	8.0372e-40
Pediococcus damnosus	51663	species	11654408	2017	0	0
Aerococcus urinaeequi	51665	species	4123700	19	5	0.0
Tetragenococcus halophilus	51669	species	5312690	8	0	0
Kazachstania humilis	51915	species	129812	1	0	4.55934e-92
[Candida] sonorensis	51926	species	50822	2	0	0.0
Elaeis guineensis	51953	species	97959585	2	0	0.0
Cloning vector pZGT5	52005	species	4344	62	0	0
Lactobacillus gallinarum	52242	species	2445153	46	26	0
Haliaeetus leucocephalus	52644	species	77169414	2	0	0.0
Austrofundulus limnaeus	52670	species	111724146	18	17	0.0
Musa balbisiana	52838	species	2833625	5	0	0.0
Scutopus ventrolineatus	52922	species	18679	1	0	0.0
Rhodomonas salina	52970	species	273603	1	0	0.0
Polaromonas	52972	genus	0	1	0	0.0
Pantoea	53335	genus	0	742	0	0.0
Tatumella citrea	53336	species	8998829	4	0	0.0
Enterococcus durans	53345	species	11048264	656	34	0
Enterococcus mundtii	53346	species	6862920	60	12	2.0393e-36
Pseudomonas asplenii	53407	species	6542715	6	3	0.0
Pseudomonas citronellolis	53408	species	14780705	5382	4641	2.78139e-09
Pseudomonas resinovorans	53412	species	358419	3	0	0.0
Lactobacillus lindneri	53444	species	2875694	78	21	0
Mesocestoides corti	53468	species	117219480	6	6	0.0
Torulaspora franciscae	53488	species	93506	54	0	0
Wickerhamomyces chambardii	53603	species	8470	2	0	0
Cloning vector pJB3Cm6	53627	species	6227	1	0	0.0
Sulfobacillus acidophilus	53633	species	37748	1	0	0.0
Hanseniaspora valbyensis	53685	species	62939	1	0	0
Pseudomonas amygdali pv. lachrymans	53707	leaf	6115876	19	19	0.0
Thermococcus peptonophilus	53952	species	1905070	1	1	0.0
Pediococcus parvulus	54062	species	121629	2	0	0
Raoultella ornithinolytica	54291	species	41262442	1355	23	0
Salmonella enterica subsp. enterica serovar Paratyphi A	54388	leaf	18537568	349	28	0
Cloning vector pRNA8	54395	species	11918	199	0	3.32503e-05
Streptomyces venezuelae	54571	species	26627327	8	0	0.0
Xanthomonas campestris pv. amaranthicola	54735	leaf	6763	255	0	7.40937e-05
Salmonella bongori	54736	species	360955	791	1	0
Plasmodium vinckei vinckei	54757	subspecies	10084816	13	1	0.0
Brevibacillus reuszeri	54915	species	67198	110	0	1.7621e-06
Brevibacillus	55080	genus	0	21	0	0.0
Malassezia	55193	genus	0	3	0	0.0
Sediminispirochaeta smaragdinae	55206	species	3063	1	0	0.0
Pectobacterium wasabiae	55208	species	120903	14	0	6.91006e-07
Pantoea cypripedii	55209	species	67519	2	0	0
Brenneria rubrifaciens	55213	species	41953	54	0	0
Guillardia theta	55529	species	1474084	1	1	0.0
Dioscorea rotundata	55577	species	797371	7	0	0
Vibrio anguillarum	55601	species	168093962	1140	1	0
Accipitridae	56259	family	0	1	0	0.0
Tyto alba	56313	species	26081044	6	5	0.0
Metschnikowia agaves	56417	species	27766	2	0	0.0
Xanthomonas hortorum	56454	species	5280249	3	3	0.0
Xanthomonas sacchari	56458	species	5074377	46	42	0.0
Xanthomonas vasicola	56459	species	34173	51	0	1.24446e-06
Xanthomonas vesicatoria	56460	species	5479933	2	0	0.0
uncultured marine bacterium	56765	species	25557233	33	2	3.18221e-69
Salmonella enterica subsp. enterica serovar Paratyphi B	57045	leaf	366727	1	0	0
Salmonella enterica subsp. enterica serovar Paratyphi C	57046	leaf	90148	330	0	0
Dicrocoelium dendriticum	57078	species	547997351	64	47	0.0
Colius striatus	57412	species	24245027	3	0	0.0
Merops nubicus	57421	species	24188631	1	0	0.0
Fibulobasidium inconspicuum	57688	species	12055	5	0	4.11547e-42
Citrobacter braakii	57706	species	5059855	75	1	0
Salmonella enterica subsp. enterica serovar Blockley	57741	leaf	16318	1	1	0.0
Salmonella enterica subsp. enterica serovar Weltevreden	57743	leaf	20473814	2686	55	3.91032e-09
Burkholderia thailandensis	57975	species	40889102	14	0	0.0
Salmonella enterica subsp. enterica serovar Agona	58095	leaf	76576	1	0	0.0
Salmonella enterica subsp. enterica serovar Bareilly	58096	leaf	26177	37	0	0
Salmonella enterica subsp. enterica serovar Bovismorbificans	58097	leaf	41056	1	0	0.0
Salmonella enterica subsp. enterica serovar Waycross	58101	leaf	4814711	2537	91	0
Paratrechina	58224	genus	0	1	0	0.0
Salmonella enterica subsp. enterica serovar Anatum	58712	leaf	10085488	363	234	9.76277e-09
Salmonella enterica subsp. enterica	59201	subspecies	55859630	12191	195	4.40305e-09
Salmonella enterica subsp. salamae	59202	subspecies	232726	11	2	8.8218e-09
Salmonella enterica subsp. diarizonae	59204	subspecies	14902822	1046	2	5.34005e-205
Salmonella enterica subsp. indica	59207	subspecies	117992	4	0	0.0
Fibrobacter succinogenes subsp. succinogenes S85	59374	leaf	7793969	2	0	0.0
Myotis lucifugus	59463	species	135254758	1	0	0.0
Actinotignum schaalii	59505	species	2225405	14	14	0.0
Pantholops hodgsonii	59538	species	70064556	225	117	0.0
uncultured Clostridium sp.	59620	species	3590443	1	0	0.0
Taeniopygia guttata	59729	species	60631497	9	6	0.0
Candidatus Phytoplasma australiense	59748	species	936599	1	0	0.0
Paenibacillus chibensis	59846	species	14307	1	0	0.0
Paenibacillus peoriae	59893	species	6263672	2	0	0.0
Prochlorococcus marinus str. NATL2A	59920	leaf	1850051	1	0	0.0
Diphyllobothrium latum	60516	species	531553945	31	25	0.0
Lactobacillus paraplantarum	60520	species	3402292	38	20	0
Burkholderia pyrrocinia	60550	species	8069274	18	3	0.0
Burkholderia vietnamiensis	60552	species	27537906	1	0	0.0
Chlorocebus sabaeus	60711	species	249030895	12	3	0.0
Staphylococcus succinus	61015	species	2872499	22	13	7.14078e-10
Neofelis nebulosa	61452	species	2040932	2	1	0.0
Rhinopithecus bieti	61621	species	163508539	3	2	0.0
Rhinopithecus roxellana	61622	species	115171951	1	0	0.0
Enterobacter asburiae	61645	species	15681976	809	59	1.32144e-09
Lelliottia amnigena	61646	species	9248304	124	9	0
Pluralibacter gergoviae	61647	species	6067831	35	12	2.77566e-25
Kluyvera intermedia	61648	species	6224517	386	2	3.37529e-10
Serratia ficaria	61651	species	5234504	17	3	0.0
Serratia rubidaea	61652	species	5034144	119	2	1.57248e-08
Nomascus leucogenys	61853	species	135597566	4	2	0.0
Vibrio shilonii	62153	species	5958516	1	0	0.0
Shewanella baltica	62322	species	337349	1	0	0.0
Varroa jacobsoni	62625	species	110677345	6	0	0.0
Solanum habrochaites	62890	species	1464206	33	0	1.05077e-55
Azoarcus sp. BH72	62928	species	4399837	13	0	0.0
Chenopodium quinoa	63459	species	148219361	10	9	0.0
Sodalis glossinidius	63612	species	387202	8	0	0.0
Oryza minuta	63629	species	24930215	2	1	0.0
Halobacterium salinarum NRC-1	64091	leaf	2575488	3	0	0.0
Pieris rapae	64459	species	52105613	5	3	0.0
Tremella fuciformis	64657	species	523095	34	1	0.0
Mycobacterium lepraemurium	64667	species	4052185	5	0	0.0
Cloning vector pGR8	64712	species	9655	9	0	0
Trachymyrmex zeteki	64791	species	48043614	3	2	0.0
Wasmannia auropunctata	64793	species	69040098	12	3	0.0
Fopius arisanus	64838	species	57513933	2	1	0.0
Mitsuaria	65047	genus	0	1	0	0.0
Halothece sp. PCC 7418	65093	species	4185002	1	1	0.0
Wolbachia sp. wRi	66084	species	1465056	1	0	0.0
Pantoea stewartii	66269	species	98851	50	0	0
Pantoea stewartii subsp. stewartii	66271	subspecies	99654	71	0	0
Papilio xuthus	66420	species	55173925	3	0	0.0
Bacillus clausii KSM-K16	66692	leaf	4304796	3	1	0.0
Escherichia phage AR1	66711	leaf	186778	7	0	1.78142e-17
Desulfocella halophila	66835	species	5522	1	0	0.0
Streptomyces alboflavus	67267	species	9981282	4	0	0.0
Rheinheimera	67575	genus	0	1	0	0.0
Phytophthora sojae	67593	species	31605962	1	1	0.0
Edwardsiella ictaluri	67780	species	3948729	10	0	0.0
Citrobacter farmeri	67824	species	5758226	50	7	3.56195e-10
Citrobacter rodentium	67825	species	123319	29	0	1.7619e-08
Citrobacter sedlakii	67826	species	35939	9	0	6.92311e-162
Citrobacter werkmanii	67827	species	10108597	370	59	2.03088e-10
Actinobacillus succinogenes	67854	species	32125	3	0	0.0
Kitasatospora albolonga	68173	species	8050773	14	3	0.0
Streptomyces griseochromogenes	68214	species	10901385	14	3	0.0
Streptomyces katrae	68223	species	8065113	13	0	0.0
Streptomyces pactum	68249	species	17063261	10	0	0.0
Mesorhizobium	68287	genus	0	2	0	0.0
Streptomyces albulus	68570	species	18843735	28	0	0.0
Cupriavidus basilensis	68895	species	8505468	33	17	0.0
Thermales	68933	order	0	1	0	0.0
Enterobacter cancerogenus	69218	species	5031628	29	3	0
Enterobacter cloacae subsp. dissolvens	69219	subspecies	82147	2	0	0
Dickeya paradisiaca	69223	species	31626	2	0	0.0
Erwinia psidii	69224	species	43966	5	0	0.0
Gasterosteus aculeatus	69293	species	19886818	2	1	0.0
Microplitis demolitor	69319	species	45626478	13	9	0.0
Pseudomonas sp. VLB120	69328	species	5972424	1077	74	0
Curtobacterium pusillum	69373	species	4562552	1	1	0.0
Stenotrophomonas sp.	69392	species	557173	1	0	0.0
Pantoea sp.	69393	species	305304	2	0	0.0
Caulobacter mirabilis	69666	species	4580804	1	0	0.0
Penicillium roseopurpureum	69786	species	26558	1	0	0.0
Spodoptera litura	69820	species	69438000	17	4	0.0
Enterobacteria phage H-19B	69932	species	21663	6	0	0.0
Azotobacter salinestris	69964	species	38317	1	0	0.0
Macrococcus caseolyticus	69966	species	2691080	434	1	1.48503e-262
Staphylococcus condimenti	70255	species	5389719	29	0	0.0
Staphylococcus piscifermentans	70258	species	2646592	41	29	0.0
Ostreococcus tauri	70448	species	12268599	1	1	0.0
Schistocephalus solidus	70667	species	540297029	31	18	0.0
Pseudomonas plecoglossicida	70775	species	6802929	10764	397	0
Acropora digitifera	70779	species	76057098	1	1	0.0
Salmonella enterica subsp. enterica serovar Minnesota	70803	leaf	5098827	169	0	0
Eucalyptus grandis	71139	species	121476478	7	5	0.0
Cucurbitales	71239	order	0	1	0	0.0
Kazachstania	71245	genus	0	4	0	0.0
Enterococcus raffinosus	71452	species	63384	1	0	0.0
Tetragenococcus solitarius	71453	species	22936	1	1	0.0
Cylicostephanus goldi	71465	species	173398844	1534	13	0
Pinus echinata	71631	species	175289	1	1	0.0
Lonsdalea quercina	71657	species	41795	1	0	0.0
Chlorogonium capillatum	71743	species	287122	1	0	0.0
Kocuria rhizophila	72000	species	2860095	2	0	0.0
Fabales	72025	order	0	1	0	0.0
Pseudomonadales	72274	order	0	4	0	0.0
Alteromonadaceae	72275	family	0	1	0	0.0
Ectothiorhodospiraceae	72276	family	0	15	0	0.0
Helicobacteraceae	72293	family	0	2	0	0.0
Bacillus mojavensis	72360	species	523097	251	1	0
Bacillus vallismortis	72361	species	4161294	49	2	0
Klebsiella pneumoniae subsp. pneumoniae	72407	subspecies	124694832	1748	12	0
Achromobacter ruhlandii	72557	species	6425790	25	0	0.0
Mrakia psychrophila	72568	species	10059	5	0	8.57331e-07
Pseudomonas sp. 109	72584	species	2964	172	0	0
Eutrema salsugineum	72664	species	43001361	1	1	0.0
Staphylococcus capitis subsp. capitis	72758	subspecies	2532760	36	8	0
Kluyvera georgiana	73098	species	5064720	137	10	0
Vernicia fordii	73154	species	790226	1	1	0.0
Cordyceps militaris	73501	species	34621223	2	0	0.0
Thermaerobacter marianensis	73919	species	4537	1	0	0.0
Antarctobacter heliothermus	74033	species	5336913	10	2	0.0
Photobacterium profundum	74109	species	8573	1	1	0.0
Cloning vector pFUN	74538	species	8072	7	0	1.15998e-20
Olimarabidopsis pumila	74718	species	511084	1	0	0.0
Paraburkholderia caribensis	75105	species	27443398	3	1	0.0
Streptomyces autolyticus	75293	species	10440537	4	0	0.0
Shuttle vector pAUR101	75305	species	6687	13	0	0
Sinocyclocheilus grahami	75366	species	167391581	6	2	0.0
Pseudomonas libanensis	75588	species	6355263	1	0	0
Pseudomonas mandelii	75612	species	7302371	471	351	0.0
Oxalobacteraceae	75682	family	0	2	0	0.0
Populus euphratica	75702	species	113222620	2	1	0.0
Integrating expression vector YIpDCE1	75737	species	8655	1	0	4.28201e-143
Rhodocyclaceae	75787	family	0	1	0	0.0
Strongyloides venezuelensis	75913	species	52200475	81	22	0.0
Trebouxiophyceae	75966	class	0	1	0	0.0
Mannheimia haemolytica	75985	species	17162691	3	3	2.38936e-10
Fusibacter	76008	genus	0	1	0	0.0
Beloniformes	76071	order	0	2	0	0.0
Aromatoleum aromaticum EbN1	76114	leaf	4729522	23	22	0.0
Papilio machaon	76193	species	34864502	6	6	0.0
Roseateles depolymerans	76731	species	5712874	3	2	0.0
Pseudomonas orientalis	76758	species	6232239	2	1	0
Pseudomonas monteilii	76759	species	5088178	53	33	0
Pseudomonas rhodesiae	76760	species	6581025	16	7	0.0
Pseudomonas veronii	76761	species	7095954	48	0	8.5547e-66
Malassezia sympodialis	76777	species	31356431	10	0	1.30782e-10
Xanthomonas fuscans subsp. aurantifolii	76802	subspecies	15520865	103	37	0.0
Solibacillus silvestris	76853	species	4078990	2	1	0
Fusobacterium nucleatum subsp. polymorphum	76857	subspecies	12740272	1	1	0.0
Fusobacterium nucleatum subsp. animalis	76859	subspecies	7210039	4	4	0.0
Pseudomonas putida GB-1	76869	leaf	6094882	10	0	0.0
Sphingobium herbicidovorans	76947	species	4270012	1	0	0.0
Malassezia pachydermatis	77020	species	6768694	4	4	0.0
uncultured bacterium	77133	species	2727715008	71611	1971	2.68721e-09
Dendroctonus ponderosae	77166	species	56484286	1	1	3.62999e-11
Xanthobacter autotrophicus Py2	78245	leaf	5662306	4	4	0.0
Pseudomonas mosselii	78327	species	11651840	76	45	0.0
Pectobacterium carotovorum subsp. odoriferum	78398	subspecies	5025612	4	2	0.0
Pseudomonas migulae	78543	species	318302	2	0	0.0
Phalaenopsis equestris	78828	species	55013787	2	1	0.0
Mortierella verticillata	78898	species	122159	1	1	0.0
Daucus carota subsp. sativus	79200	subspecies	101153097	2	1	0.0
Desulfosporosinus meridiei	79209	species	16162	1	0	0.0
Monoblepharidaceae	79273	family	0	3	0	0.0
Schmidtea mediterranea	79327	species	4386791	1	1	0.0
Pseudomonas sp. CF600	79676	species	24396	18	9	0.0
Microtus ochrogaster	79684	species	87131410	7	0	0.0
Human papillomavirus RTRX7	79691	leaf	7731	7	7	5.42492e-07
Cimex lectularius	79782	species	61847810	3	0	0.0
Bacillus clausii	79880	species	9086116	5	1	0
Bacillus gibsonii	79881	species	4171105	1497	1	7.8095e-125
Bacillus halmapalus	79882	species	44777	1	0	0.0
Aphis gossypii	80765	species	1090964	3	1	0.0
Burkholderiales	80840	order	0	2011	0	0.0
Aliivibrio wodanis	80852	species	4699515	1	0	0.0
Moritella viscosa	80854	species	5219038	2	1	0.0
Populus tremula x Populus alba	80863	species	6894898	1	1	0.0
Comamonadaceae	80864	family	0	242	0	0.0
Delftia	80865	genus	0	93	0	0.0
Delftia acidovorans	80866	species	13737746	310	1	0
Acidovorax citrulli	80869	species	5707026	42	19	0.0
Acanthochromis polyacanthus	80966	species	123387733	2	0	0.0
Amphiprion ocellaris	80972	species	136807862	16	0	0.0
Entomoplasma melaleucae	81459	species	863719	4	3	0.0
Rhodoferax antarcticus	81479	species	4057699	10	7	0.0
Monosiga	81525	genus	0	73	0	0.0
unidentified microorganism	81726	species	1072788	1	0	0.0
Monosiga brevicollis	81824	species	4925911	421	0	5.96681e-10
Leuconostocaceae	81850	family	0	3	0	0.0
Arabidopsis lyrata subsp. lyrata	81972	subspecies	82080857	5	1	0.0
Rhizobiaceae	82115	family	0	5	0	0.0
Cupriavidus gilardii	82541	species	47570	5	0	0.0
Pseudanabaena sp. PCC 7367	82654	species	4900211	1	1	0.0
Obesumbacterium	82982	genus	0	1	0	0.0
Obesumbacterium proteus	82983	species	5043754	15	0	0
Pragia fontium	82985	species	4098286	4	1	0.0
Tatumella	82986	genus	0	1	0	0.0
Serratia grimesii	82995	species	5149974	2	1	0.0
Serratia plymuthica	82996	species	16782319	12	1	0.0
Phage PS34	83127	species	6709	2	0	9.06238e-62
Aminobacter aminovorans	83263	species	6954862	4	3	0.0
Escherichia coli K-12	83333	leaf	66372578	578	171	0
Escherichia coli O157:H7	83334	leaf	73211939	315	15	1.40479e-10
uncultured Streptococcus sp.	83427	species	8947942	30	0	0
uncultured Bacillus sp.	83428	species	5979817	146	13	0
Myxococcus stipitatus	83455	species	72068	2	0	0.0
Linepithema humile	83485	species	73534978	2	2	0.0
Stenotrophomonas nitritireducens	83617	species	4574732	126	37	0.0
Pseudoxanthomonas	83618	genus	0	28	0	0.0
Leclercia	83654	genus	0	2	0	0.0
Leclercia adecarboxylata	83655	species	5779938	145	10	0
Lactobacillus amylolyticus	83683	species	1658891	6	6	0.0
Lactobacillus delbrueckii subsp. delbrueckii	83684	subspecies	3957574	994	1	0
Boehmeria nivea	83906	species	480161	37	23	0
Hippea maritima	84405	species	4790	1	0	0.0
Lysobacter antibioticus	84531	species	11742572	28	1	0.0
Aeromonadaceae	84642	family	0	59	0	0.0
Micrococcales	85006	order	0	22	0	0.0
Corynebacteriales	85007	order	0	2	0	0.0
Propionibacteriales	85009	order	0	1	0	0.0
Streptomycetales	85011	order	0	1	0	0.0
Microbacteriaceae	85023	family	0	2	0	0.0
Nocardiaceae	85025	family	0	25	0	0.0
Geodermatophilaceae	85030	family	0	1	0	0.0
Trypanosoma cruzi marinkellei	85056	subspecies	170733	5	0	0
Trypanosoma cruzi cruzi	85057	subspecies	38291179	1	1	0.0
Corvus brachyrhynchos	85066	species	140623525	10	7	0.0
Plasmodium relictum	85471	species	18888070	4	2	0.0
Photobacterium damselae subsp. damselae	85581	subspecies	5278689	1	1	0.0
Thauera sp. MZ1T	85643	species	4579063	96	58	0
Pseudomonas sp. Cam-1	85672	species	10575	4	0	0.0
Citrus clementina	85681	species	58010542	5	5	0.0
Achromobacter xylosoxidans	85698	species	13789133	5387	416	0
Astrosclera willeyana	85810	species	22850	1	1	0.0
Helicobacter pylori J99	85963	leaf	3356568	1	0	0.0
uncultured beta proteobacterium	86027	species	17911676	17	6	3.33138e-244
Bacillus subtilis subsp. natto	86029	subspecies	4412662	7	0	0
Xanthomonas citri subsp. malvacearum	86040	subspecies	26323885	247	0	0
endosymbiont of Acanthamoeba sp. UWC8	86106	species	1616700	1	0	0.0
Phaseolibacter flectens	86187	species	6555	1	0	0.0
Pseudomonas chlororaphis subsp. aurantiaca	86192	subspecies	13818613	60	0	0
Mogibacterium pumilum	86332	species	1867240	1	1	0.0
Clostridium pasteurianum BC1	86416	leaf	5044594	3	0	0.0
uncultured gamma proteobacterium	86473	species	23411099	72	3	0
86662	86662	no rank	6075075	41	4	0.0
Bacillus flexus	86664	species	5224536	2	0	0.0
Bacillus halodurans	86665	species	644261	1	0	0.0
Bacillus niacini	86668	species	226499	2	2	0.0
Emmenopterys henryi	86990	species	243457	2	2	0.0
Shuttle vector pCS4-14	87163	species	11741	42	0	0
Hydroclathrus clathratus	87248	species	13494	1	0	0.0
Aerococcus christensenii	87541	species	1643565	72	0	0
Burkholderia multivorans	87883	species	20956831	543	60	0
Eurytemora affinis	88015	species	70311388	7	6	0.0
Bacillus sp. IDA624	88279	species	1499	3	0	0.0
Kappaphycus striatus	88410	species	111268	259	0	0
Cyclospora cayetanensis	88456	species	11922571	1	0	0.0
Pertusariales	88639	order	0	1	0	0.0
Lactobacillus acidipiscis	89059	species	2754793	59	0	0
Weissella thailandensis	89061	species	28528	89	0	0
Pseudomonas abietaniphila	89065	species	51715	159	146	0.0
Chamaecyparis hodginsii	89191	species	577387	1	1	0.0
Gluconacetobacter liquefaciens	89584	species	52216	1	0	0.0
Kwoniella heveanensis	89924	species	410977	7	0	4.13046e-236
Expression vector pARA13	89960	species	5289	52	0	7.33623e-151
Expression vector pCY215	89961	species	7050	137	0	0
Expression vector pCY216	89962	species	6758	109	0	0
Saccharomyces sp. CID1	89980	species	4710	21	0	0.0
Salmonella enterica subsp. enterica serovar Saintpaul	90105	leaf	29428710	5980	285	1.15561e-08
Xanthomonas gardneri	90270	species	11084973	37	6	0.0
Ctenidium molluscum	90309	species	8975	1	0	0.0
Salmonella enterica subsp. enterica serovar Typhi	90370	leaf	212536378	2614	187	3.7823e-10
Salmonella enterica subsp. enterica serovar Typhimurium	90371	leaf	138372959	11196	2366	0
Staphylococcaceae	90964	family	0	2	0	0.0
Bacilli	91061	class	0	236	0	0.0
Enterobacterales	91347	order	0	138	0	0.0
Polistes canadensis	91411	species	63881975	10	6	0.0
uncultured Alphaproteobacteria bacterium	91750	species	21052502	2	0	0.0
secondary endosymbiont of Bemisia tabaci	91843	species	44376	1	0	0.0
Legionella pneumophila subsp. pascullei	91890	subspecies	10234283	3	1	0.0
Legionella pneumophila subsp. pneumophila	91891	subspecies	31230617	13	0	0.0
Pantoea endophytica	92488	species	44377	1	0	0.0
Streptomyces malaysiensis	92644	species	10788867	3	1	0.0
Herbaspirillum frisingense	92645	species	5481288	58	33	0.0
[Pantoea] cedenensis	92932	species	31435	1	1	0.0
Staphylococcus aureus subsp. aureus NCTC 8325	93061	leaf	3000405	13	10	0.0
Staphylococcus aureus subsp. aureus COL	93062	leaf	2920025	118	89	2.03718e-08
Pandoraea	93217	genus	0	24	0	0.0
Pandoraea apista	93218	species	22349677	35	0	0.0
Pandoraea norimbergensis	93219	species	6187509	13	7	0.0
Pandoraea pnomenusa	93220	species	22055250	733	469	1.26398e-10
Pandoraea pulmonicola	93221	species	5880064	3	2	0.0
Burkholderia sp. IpA-51	93223	species	2435	2	0	0.0
Edwardsiella hoshinae	93378	species	3822509	2	0	0.0
Coturnix japonica	93934	species	182615022	16	2	0.0
Nonomuraea gerenzanensis	93944	species	12085661	7	3	0.0
Shewanella japonica	93973	species	4990407	1	0	0.0
Shewanella sp. ANA-3	94122	species	5265883	33	6	0.0
Ramlibacter tataouinensis	94132	species	4923575	35	14	0.0
Bordetella petrii	94624	species	5386039	861	560	1.22338e-09
Gavialis gangeticus	94835	species	101522451	3	2	0.0
Pseudomonas vancouverensis	95300	species	6469841	631	428	0.0
Mycobacterium sp. DhA-55	95302	species	931	1	0	0.0
Burkholderia stabilis	95485	species	16354152	350	75	2.04558e-10
Burkholderia cenocepacia	95486	species	108942368	902	116	1.94642e-11
Saccharomyces sp. S6U	95684	species	2773	9	0	0
uncultured bacterium SP31-8	95982	species	195	1	1	0.0
